Rank,Name,FirstYear,LastYear,Seasons,Games,PA,HR,RBI,Runs,Hits,OPS_plus,G,O,L,D,GOLD,Tier
1,Barry Bonds,1993,2007,15,1976,8351,586,1440,1555,1951,197.7,100.0,100.0,84.2,100.0,96.8,Gold Standard
2,Willie McCovey,1959,1980,19,2256,8523,469,1388,1113,1974,148.5,81.7,99.0,100.0,99.5,94.1,Elite Gold
3,Willie Mays,1958,1972,15,2095,8717,459,1350,1480,2284,155.6,88.3,99.5,88.1,98.5,93.7,Elite Gold
4,Buster Posey,2009,2021,12,1371,5607,158,729,663,1500,128.0,46.3,94.4,59.4,97.4,73.6,Silver
5,Will Clark,1986,1993,8,1160,4878,176,709,687,1278,143.2,44.2,98.0,45.9,98.0,71.4,Silver
6,Orlando Cepeda,1958,1966,9,1114,4532,226,767,652,1286,138.5,42.9,96.9,46.0,96.9,70.6,Silver
7,Brandon Belt,2011,2022,12,1310,5079,175,584,628,1146,122.3,42.1,92.3,57.4,92.3,70.3,Silver
8,Jack Clark,1975,1984,10,1044,4300,163,595,597,1034,132.4,38.1,95.4,45.4,94.4,68.0,Bronze
9,Matt Williams,1987,1996,10,1120,4497,247,732,594,1092,120.6,40.2,89.3,47.9,95.9,67.6,Bronze
10,Bobby Bonds,1968,1974,7,1014,4610,186,552,765,1106,129.4,41.2,94.9,39.4,89.8,66.7,Bronze
11,Jeff Kent,1997,2002,6,900,3903,175,689,570,1021,133.6,38.0,95.9,34.0,96.4,66.3,Bronze
12,Jim Ray Hart,1963,1973,11,1001,3836,157,526,488,965,127.9,32.7,93.9,45.7,93.4,65.8,Bronze
13,Pablo Sandoval,2008,2020,11,1149,4342,135,569,484,1130,116.6,34.8,85.2,50.5,91.8,64.5,Bronze
14,Darrell Evans,1976,1983,8,1094,4406,142,525,534,952,118.3,35.5,87.8,43.7,91.3,64.0,Bronze
15,J.T. Snow,1997,2008,10,1183,4497,124,615,561,1043,111.2,37.5,78.6,50.0,86.7,62.1,Bronze
16,Kevin Mitchell,1987,1991,5,624,2516,143,411,351,614,146.9,24.3,98.5,23.4,99.0,61.3,Bronze
17,Brandon Crawford,2011,2023,13,1654,6238,146,744,669,1392,97.0,45.6,50.5,70.3,86.2,60.1,Bronze
18,Robby Thompson,1986,1996,11,1304,5235,119,458,671,1187,105.0,37.6,66.8,55.6,83.7,59.2,Bronze
19,Chili Davis,1981,1987,7,874,3564,101,418,432,840,112.4,27.8,80.1,34.9,89.3,57.2,Bronze
20,Rich Aurilia,1995,2009,12,1292,4879,143,574,574,1226,98.4,37.4,53.6,56.8,90.8,56.8,Bronze
21,Dick Dietz,1966,1971,6,536,1983,62,271,200,428,126.3,16.4,92.9,22.2,93.9,56.0,Bronze
22,Jeffrey Leonard,1981,1988,8,789,3170,99,435,381,809,110.2,25.2,76.5,33.7,84.7,54.2,Bronze
23,Ellis Burks,1998,2000,3,284,1104,60,214,169,290,141.3,11.6,97.4,8.9,95.4,53.6,Bronze
24,Tom Haller,1961,1967,7,761,2744,107,320,301,587,112.8,21.4,81.1,31.2,80.6,53.1,Bronze
25,Felipe Alou,1958,1963,6,719,2479,85,325,337,655,115.2,20.5,84.2,28.1,78.6,52.7,Bronze
26,Hunter Pence,2012,2020,8,789,3151,95,412,391,763,107.3,25.0,71.4,33.7,82.7,52.2,Bronze
27,Gary Matthews,1972,1976,5,594,2479,64,296,318,624,121.0,20.3,89.8,22.4,73.0,52.1,Bronze
28,Mike Yastrzemski,2019,2023,5,554,2107,88,261,305,444,112.7,18.0,80.6,21.1,88.3,51.4,Bronze
29,Bob Brenly,1981,1989,9,823,2903,90,327,312,632,107.3,21.7,71.9,36.5,77.6,50.9,Bronze
30,Mike Ivie,1978,1981,4,336,1131,42,172,114,287,121.9,9.4,91.3,12.3,90.3,50.7,Bronze
31,Brett Butler,1988,1990,3,471,2083,13,123,317,523,117.6,14.9,87.2,15.0,82.1,50.1,Bronze
32,Melky Cabrera,2012,2012,1,113,501,11,60,84,159,138.0,4.6,96.4,0.0,94.9,49.3,Bronze
33,Ken Henderson,1965,1972,8,674,2483,61,270,316,551,107.8,19.1,73.0,30.0,78.1,49.2,Bronze
34,Bill Madlock,1977,1979,3,331,1364,34,131,183,364,117.5,10.6,86.2,10.5,87.8,48.7,Bronze
35,Joc Pederson,2022,2023,2,255,858,38,121,116,188,122.2,7.5,91.8,6.3,87.2,48.5,Bronze
36,Moisés Alou,2005,2006,2,221,868,41,137,119,241,127.5,8.3,93.4,5.2,84.2,48.4,Bronze
37,Wilmer Flores,2020,2023,4,471,1705,72,216,210,390,113.7,13.9,82.1,16.7,80.1,48.2,Bronze
38,Aubrey Huff,2010,2012,3,359,1342,39,152,152,308,113.3,10.5,81.6,11.4,88.8,47.7,Bronze
39,Ray Durham,2003,2008,6,734,2958,77,356,401,718,104.8,24.3,65.3,28.6,74.5,47.5,Bronze
40,Randy Winn,2005,2009,5,666,2799,51,262,343,735,99.8,20.9,58.2,24.7,92.9,47.2,Bronze
41,Joe Morgan,1981,1982,2,224,932,22,92,115,208,121.7,7.4,90.8,5.3,83.2,47.2,Bronze
42,Bobby Murcer,1975,1976,2,294,1256,34,181,153,295,121.3,10.6,90.3,7.6,76.0,47.0,Bronze
43,Jim Davenport,1958,1970,13,1501,4982,77,456,552,1142,90.0,33.1,34.7,65.3,64.8,46.4,Bronze
44,Darin Ruf,2020,2023,4,256,753,32,102,99,159,117.6,6.5,86.7,9.7,81.6,46.2,Bronze
45,Ed Bailey,1961,1965,4,332,1096,51,167,113,224,112.1,9.1,79.1,12.2,85.7,46.0,Bronze
46,Armando Rios,1998,2001,4,292,809,33,131,111,197,118.4,7.5,88.3,10.8,75.0,45.9,Bronze
47,Chris Brown,1984,1987,4,308,1184,30,138,130,305,116.8,8.9,85.7,11.4,70.9,44.8,Bronze
48,Mark Carreon,1993,1996,4,327,1025,36,169,123,271,113.8,8.8,82.7,12.0,74.0,44.6,Bronze
49,Joel Youngblood,1983,1988,6,602,1647,39,183,174,391,105.0,11.8,66.3,24.3,81.1,44.5,Bronze
50,Candy Maldonado,1986,1989,4,522,1862,59,279,210,433,107.5,14.8,72.4,18.4,72.4,44.3,Bronze
51,Pat Burrell,2010,2011,2,188,560,25,72,58,119,119.2,4.7,88.8,4.1,77.0,44.3,Bronze
