Rank,Name,FirstYear,LastYear,Seasons,IP,Wins,Losses,Saves,SO,ERA_plus,G,O,L,D,GOLD,Tier
1,Juan Marichal,1960,1973,14,3440.4,238,140,2,2281,129.4,100.0,91.1,100.0,94.9,96.3,Gold Standard
2,Gaylord Perry,1962,1971,10,2292.0,134,109,9,1606,120.7,65.5,80.4,66.3,83.5,73.7,Silver
3,Madison Bumgarner,2009,2019,11,1843.2,119,92,0,1794,120.3,59.8,79.7,59.1,81.6,70.0,Silver
4,Matt Cain,2005,2017,13,2081.7,104,118,0,1694,112.9,59.8,72.8,68.8,82.3,70.0,Bronze
5,Tim Lincecum,2007,2015,9,1641.8,108,83,1,1704,115.4,54.9,76.6,50.2,93.7,68.2,Bronze
6,Gary Lavelle,1974,1984,11,977.3,73,67,127,696,129.4,39.3,91.8,40.7,93.0,66.1,Bronze
7,Jason Schmidt,2001,2006,6,1068.5,78,37,0,1065,127.9,36.0,89.9,31.1,96.2,63.2,Bronze
8,Robb Nen,1998,2002,5,376.7,24,25,206,453,171.7,29.0,100.0,14.0,99.4,61.4,Bronze
9,Greg Minton,1975,1987,13,866.6,45,52,125,352,121.8,30.1,81.6,42.9,94.3,61.0,Bronze
10,Jim Barr,1971,1983,10,1798.0,90,96,11,650,111.2,42.2,69.6,55.8,77.2,60.2,Bronze
11,Frank Linzy,1963,1970,7,529.1,48,39,77,258,144.8,21.3,97.5,21.9,98.7,59.8,Bronze
12,Sergio Romo,2008,2016,9,438.5,32,26,84,498,146.3,21.9,98.1,24.6,89.2,58.8,Bronze
13,Rod Beck,1991,1997,7,461.6,21,28,199,393,132.2,28.4,93.7,20.5,89.9,58.7,Bronze
14,Bobby Bolin,1961,1969,9,1280.7,73,56,22,977,111.9,38.7,70.9,42.5,82.9,58.0,Bronze
15,Brian Wilson,2006,2012,7,318.6,20,20,171,340,133.8,23.7,94.9,17.4,92.4,57.6,Bronze
16,Santiago Casilla,2010,2016,7,393.5,32,22,123,366,147.4,22.7,98.7,19.0,85.4,57.3,Bronze
17,Scott Garrelts,1982,1991,10,957.0,69,53,48,703,114.2,32.6,75.3,37.9,81.0,56.2,Bronze
18,Felix Rodriguez,1999,2004,6,401.6,34,19,5,376,138.1,14.1,95.6,16.9,96.8,55.7,Bronze
19,Jeremy Affeldt,2009,2015,7,359.8,17,18,10,293,129.7,11.0,93.0,18.3,95.6,54.0,Bronze
20,Jeff Brantley,1988,1993,6,503.0,29,20,42,384,122.1,17.8,83.5,19.0,97.5,53.7,Bronze
21,Stu Miller,1958,1962,5,679.4,40,35,46,446,124.0,22.4,85.4,20.5,84.8,53.4,Bronze
22,Bill Swift,1992,1994,3,505.5,39,19,1,296,133.3,14.7,94.3,12.2,88.0,52.7,Bronze
23,Mike McCormick,1958,1970,9,1739.0,104,94,11,976,102.7,47.2,48.1,52.3,66.5,52.3,Bronze
24,Tyler Rogers,2019,2023,5,275.4,19,13,18,207,140.6,9.7,96.2,11.9,90.5,52.2,Bronze
25,Jarlín García,2020,2022,3,151.3,9,8,2,138,168.3,4.9,99.4,4.6,100.0,52.2,Bronze
26,Javier López,2010,2016,7,249.6,17,8,10,184,143.3,8.2,96.8,16.0,87.3,52.2,Bronze
27,Al Holland,1979,1982,4,318.5,19,11,19,247,129.6,10.8,92.4,10.5,91.1,51.3,Bronze
28,Atlee Hammaker,1982,1990,8,1005.9,58,59,5,583,106.1,27.2,61.4,34.4,86.7,50.8,Bronze
29,John Montefusco,1974,1980,7,1180.8,59,62,0,869,107.6,32.8,63.9,35.8,70.3,50.2,Bronze
30,Randy Moffitt,1972,1981,10,680.0,35,46,83,397,110.6,24.0,67.7,32.0,78.5,49.6,Bronze
31,Frank Williams,1984,1986,3,231.2,14,9,4,178,125.2,7.1,86.7,6.3,98.1,49.0,Bronze
32,Logan Webb,2019,2023,5,649.5,42,32,0,598,121.8,20.6,81.0,19.9,71.5,48.8,Bronze
33,Michael Jackson,1992,1994,3,201.2,15,14,7,201,126.6,7.4,88.6,5.7,91.8,48.3,Bronze
34,Kirk Rueter,1996,2005,10,1611.2,105,80,0,679,99.6,41.1,39.2,51.9,63.3,47.1,Bronze
35,Johnny Cueto,2016,2021,6,612.6,39,27,0,539,111.3,19.1,70.3,21.4,79.7,47.0,Bronze
36,Don McMahon,1969,1974,6,303.6,29,15,36,236,117.7,12.9,77.8,14.8,84.2,47.0,Bronze
37,Tim Worrell,2001,2006,4,248.3,17,13,44,195,125.5,10.9,87.3,9.0,77.8,46.9,Bronze
38,Kevin Gausman,2020,2021,2,251.2,17,9,0,306,127.2,9.0,89.2,4.5,80.4,46.4,Bronze
39,George Kontos,2012,2017,6,307.8,15,14,0,252,123.5,8.8,84.8,14.9,76.6,46.4,Bronze
40,Vida Blue,1978,1986,6,1130.4,72,58,0,704,105.1,31.5,57.6,32.4,65.8,46.4,Bronze
41,Sam Jones,1959,1961,3,632.3,47,37,6,504,112.8,20.3,72.2,14.9,74.7,45.6,Bronze
42,Camilo Doval,2021,2023,3,161.4,17,13,69,204,127.9,11.8,90.5,4.9,65.2,44.7,Bronze
43,Scott Eyre,2002,2005,4,188.4,6,5,2,156,125.6,5.2,88.0,7.7,72.2,43.9,Bronze
44,Hunter Strickland,2014,2018,5,225.3,14,14,19,211,122.2,8.6,84.2,10.8,69.0,43.8,Bronze
45,John Cumberland,1970,1972,3,221.0,11,10,2,79,118.6,5.2,78.5,6.1,86.1,43.5,Bronze
46,Bob Shaw,1964,1966,3,359.3,24,19,13,226,114.4,11.2,75.9,9.1,75.9,43.1,Bronze
47,Dave Heaverlo,1975,1977,3,237.2,12,6,3,133,122.0,6.3,82.3,6.5,75.3,42.9,Bronze
48,Jack Sanford,1959,1965,7,1404.5,89,67,4,781,100.8,38.2,44.3,40.5,50.0,42.9,Bronze
49,Sam Dyson,2017,2019,3,159.1,11,8,19,130,124.3,6.4,86.1,4.8,68.4,42.4,Bronze
50,Ed Halicki,1974,1980,7,1025.8,52,65,1,691,105.1,27.8,56.3,32.5,50.6,41.9,Bronze
51,Johnny Antonelli,1958,1960,3,635.3,41,30,15,365,113.0,18.5,73.4,14.9,56.3,41.8,Bronze
52,John Johnstone,1997,2000,4,221.4,13,15,3,194,117.6,7.0,77.2,8.4,73.4,41.6,Bronze
53,Bob Knepper,1976,1990,7,969.3,53,55,0,527,101.6,25.1,46.2,31.3,69.6,41.6,Bronze
54,Carlos Rodón,2022,2022,1,178.0,14,8,0,237,122.1,6.9,82.9,0.6,70.9,41.2,Bronze
55,Tyler Walker,2004,2008,5,196.7,18,14,24,163,111.2,8.5,69.0,10.2,79.1,41.1,Bronze
56,Shawn Estes,1995,2001,7,989.3,64,50,0,795,100.4,30.0,43.0,31.7,63.9,41.0,Bronze
57,Joe Gibbon,1966,1969,4,223.0,12,13,5,142,113.4,6.4,74.7,8.5,72.8,40.6,Bronze
